Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Eigen Transpose Time,CSF2 Transpose Time, CSF3 Transpose Time, Eigen Matrix Multiplication Time, CSF2 Matrix Multiplication Time, CSF3 Matrix Multiplication Time
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,22101,20157,37439,20,5319,5040,30,7123,7453,1192,6351,5981,29012,11686,4189,3206,64810,70049,80668,298178,313627,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,20187,20648,37699,20,5350,5259,20,7243,7563,1263,6422,5891,29012,11686,4189,3527,64889,72634,85807,317874,329946,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,18745,19356,37850,20,5360,5159,20,7293,7354,1393,6552,6061,29012,11686,4189,2885,67073,69127,84315,302807,323895,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,24626,18965,43210,30,6202,6001,30,8325,7203,1623,7744,7163,29012,11686,4189,3286,77863,80609,79426,316842,372114,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,163591,74537,164412,20,27140,25818,20,37890,35525,6882,32841,31328,167564,60676,18196,22391,306624,311633,1005538,3823547,4068968,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,168670,80588,164543,20,27030,26479,20,34915,37859,7303,32701,30306,167564,60676,18196,18945,315800,337671,1066109,3834115,4041938,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,153492,81760,164051,30,27079,26449,20,34965,35876,7133,33461,31117,167564,60676,18196,16300,312544,344864,1209913,3898505,4011663,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,154163,76841,164703,20,28101,26459,20,33181,36056,7143,33952,31137,167564,60676,18196,16160,316772,335868,1168477,3902753,3986135,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,153492,76951,164873,20,27931,26588,20,33321,36306,6682,33491,31077,167564,60676,18196,16320,309890,342870,1006189,3837032,3987458,
15.000000, 118.000000, 118.000000, 297.000000, 0.983051, 0.021330,146460,78885,162980,20,27180,26820,20,48820,36478,6893,33813,32039,167564,60676,18196,18214,305371,345424,1180429,3868580,3990203,
