Matrix Number, Sparsity, Redundancy, CSF1 Size, CSF2 Size, CSF3 Size
413, 5, 14, 16324, 19732, 10031
414, 5, 15, 16420, 19980, 10193
415, 5, 16, 16724, 20516, 10519
416, 5, 17, 16324, 20708, 10763
417, 5, 18, 16820, 21388, 11149
418, 5, 19, 16116, 20716, 10821
419, 5, 20, 16748, 21464, 11224
420, 5, 21, 16212, 21356, 11277
421, 5, 22, 16420, 22060, 11753
422, 5, 23, 16364, 21920, 11662
423, 5, 24, 16508, 22216, 11848
424, 5, 25, 16588, 22488, 12032
425, 5, 26, 15812, 21828, 11731
426, 5, 27, 16388, 22684, 12229
427, 5, 28, 16788, 23060, 12411
428, 5, 29, 16428, 22896, 12378
429, 5, 30, 16428, 23072, 12510
430, 5, 31, 16396, 22928, 12410
431, 5, 32, 16364, 22808, 12328
432, 5, 33, 16084, 22884, 12455
433, 5, 34, 16412, 23600, 12910
434, 5, 35, 16196, 23180, 12649
435, 5, 36, 16252, 23328, 12746
436, 5, 37, 16316, 23624, 12952
437, 5, 38, 16076, 23384, 12832
438, 5, 39, 16260, 23556, 12915
439, 5, 40, 16524, 24016, 13194
440, 5, 41, 16308, 23804, 13089
441, 5, 42, 16452, 24060, 13245
442, 5, 43, 16068, 23756, 13113
443, 5, 44, 16580, 24156, 13285
444, 5, 45, 17148, 24904, 13704
445, 5, 46, 15932, 23640, 13060
446, 5, 47, 16180, 23980, 13253
447, 5, 48, 16308, 24268, 13437
448, 5, 49, 16732, 24624, 13598
449, 5, 50, 16956, 25152, 13938
450, 5, 51, 15956, 23772, 13153
451, 5, 52, 15988, 24012, 13325
452, 5, 53, 16332, 24360, 13500
453, 5, 54, 16708, 24908, 13817
454, 5, 55, 15908, 24036, 13363
455, 5, 56, 16908, 25408, 14142
456, 5, 57, 16676, 25156, 14011
457, 5, 58, 15980, 24216, 13480
458, 5, 59, 16628, 25164, 14029
459, 5, 60, 16484, 25028, 13963
460, 5, 61, 16236, 24560, 13674
461, 5, 62, 17156, 25868, 14425
462, 5, 63, 16196, 24652, 13753
463, 5, 64, 16532, 25052, 13969
464, 5, 65, 16052, 24580, 13735
465, 5, 66, 16468, 25148, 14057
466, 5, 67, 16732, 25560, 14300
467, 5, 68, 15996, 24496, 13686
468, 5, 69, 17012, 25780, 14395
469, 5, 70, 16324, 25140, 14087
470, 5, 71, 16852, 25852, 14489
471, 5, 72, 16452, 25244, 14133
472, 5, 73, 16676, 25540, 14299
473, 5, 74, 16580, 25484, 14281
474, 5, 75, 16460, 25336, 14200
475, 5, 76, 16540, 25464, 14276
476, 5, 77, 16396, 25160, 14084
477, 5, 78, 16580, 25548, 14329
478, 5, 79, 16828, 25976, 14588
479, 5, 80, 16380, 25304, 14196
480, 5, 81, 16556, 25528, 14320
481, 5, 82, 16860, 26176, 14730
482, 5, 83, 16700, 25856, 14530
483, 5, 84, 16340, 25252, 14167
484, 5, 85, 16772, 25884, 14533
485, 5, 86, 16356, 25476, 14331
486, 5, 87, 16756, 26172, 14753
487, 5, 88, 16372, 25492, 14339
488, 5, 89, 16636, 25976, 14636
489, 5, 90, 16428, 25664, 14454
490, 5, 91, 16484, 25612, 14401
491, 5, 92, 16260, 25460, 14343
492, 5, 93, 16076, 25208, 14200
493, 5, 94, 16948, 26284, 14789
494, 5, 95, 17052, 26432, 14874
495, 5, 96, 16484, 25852, 14581
496, 5, 97, 16324, 25620, 14447
497, 5, 98, 17076, 26628, 15015
498, 5, 99, 16412, 25584, 14398
499, 5, 100, 15708, 24760, 13956
500, 6, 1, 14172, 10896, 3942
501, 6, 2, 13500, 11360, 4458
502, 6, 3, 13292, 12048, 5026
503, 6, 4, 13980, 13168, 5694
504, 6, 5, 13892, 13780, 6175
505, 6, 6, 13612, 14288, 6626
506, 6, 7, 13764, 14972, 7101
507, 6, 8, 13548, 15360, 7446
508, 6, 9, 13684, 16036, 7919
509, 6, 10, 13580, 16280, 8128
510, 6, 11, 13540, 16724, 8471
511, 6, 12, 13604, 16972, 8641
512, 6, 13, 13884, 17360, 8862
513, 6, 14, 14060, 17896, 9220
514, 6, 15, 13780, 17964, 9341
515, 6, 16, 13660, 18120, 9488
516, 6, 17, 13596, 18200, 9564
517, 6, 18, 13732, 18404, 9683
518, 6, 19, 13900, 18840, 9968
519, 6, 20, 14388, 19596, 10413
520, 6, 21, 13932, 19424, 10398
521, 6, 22, 13572, 19004, 10173
522, 6, 23, 13588, 19148, 10277
523, 6, 24, 13676, 19480, 10504
524, 6, 25, 13612, 19600, 10610
525, 6, 26, 13108, 18980, 10271
526, 6, 27, 13724, 19880, 10792
527, 6, 28, 13548, 19776, 10758
528, 6, 29, 13652, 19884, 10813
529, 6, 30, 13876, 20356, 11111
530, 6, 31, 13780, 20164, 10991
531, 6, 32, 13748, 20196, 11023
532, 6, 33, 13972, 20604, 11273
533, 6, 34, 13484, 20056, 10984
534, 6, 35, 13724, 20344, 11140
535, 6, 36, 13572, 20340, 11175
536, 6, 37, 14404, 21228, 11633
537, 6, 38, 13892, 20940, 11545
538, 6, 39, 13420, 20384, 11246
539, 6, 40, 14100, 21132, 11637
540, 6, 41, 13972, 20924, 11513
541, 6, 42, 13428, 20332, 11205
542, 6, 43, 13836, 20848, 11490
543, 6, 44, 13940, 21116, 11665
544, 6, 45, 13388, 20432, 11290
545, 6, 46, 13948, 21144, 11684
546, 6, 47, 14172, 21568, 11946
547, 6, 48, 13788, 21128, 11712
548, 6, 49, 13876, 21308, 11825
549, 6, 50, 13732, 21252, 11819
550, 6, 51, 13652, 21020, 11665
551, 6, 52, 13324, 20648, 11468
552, 6, 53, 14300, 22040, 12268
553, 6, 54, 14028, 21520, 11946
554, 6, 55, 14012, 21744, 12118
555, 6, 56, 14164, 21868, 12173
556, 6, 57, 14004, 21740, 12117
557, 6, 58, 13788, 21432, 11940
558, 6, 59, 13548, 21040, 11706
559, 6, 60, 13348, 21124, 11819
560, 6, 61, 13908, 21652, 12075
561, 6, 62, 13668, 21596, 12093
562, 6, 63, 13972, 21852, 12209
563, 6, 64, 13940, 21980, 12313
564, 6, 65, 13572, 21452, 12009
565, 6, 66, 13588, 21572, 12095
566, 6, 67, 14004, 21924, 12255
567, 6, 68, 13500, 21344, 11946
568, 6, 69, 13844, 21748, 12163
569, 6, 70, 13980, 22096, 12390
570, 6, 71, 13540, 21324, 11921
571, 6, 72, 13940, 21884, 12241
572, 6, 73, 13972, 22004, 12323
573, 6, 74, 14060, 22184, 12436
574, 6, 75, 14148, 22132, 12375
575, 6, 76, 13676, 21728, 12190
576, 6, 77, 13884, 22008, 12348
577, 6, 78, 13772, 21784, 12208
578, 6, 79, 13604, 21652, 12151
579, 6, 80, 13988, 22068, 12367
580, 6, 81, 13884, 22080, 12402
581, 6, 82, 14164, 22516, 12659
582, 6, 83, 14220, 22560, 12678
583, 6, 84, 13812, 22060, 12405
584, 6, 85, 13652, 21836, 12277
585, 6, 86, 13476, 21564, 12117
586, 6, 87, 13628, 21712, 12190
587, 6, 88, 14180, 22460, 12613
588, 6, 89, 13708, 21840, 12266
589, 6, 90, 13796, 22172, 12493
590, 6, 91, 13876, 22188, 12485
591, 6, 92, 13460, 21660, 12193
592, 6, 93, 14068, 22420, 12611
593, 6, 94, 13340, 21656, 12220
594, 6, 95, 13684, 21916, 12329
595, 6, 96, 13932, 22416, 12642
596, 6, 97, 14084, 22668, 12793
597, 6, 98, 13988, 22548, 12727
598, 6, 99, 13460, 21724, 12241
599, 6, 100, 14004, 22420, 12627
