Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSC Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSC InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSC Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSC Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSC Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSC Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSC Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSC Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSC Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSC Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
134,758,758,3376,1,0.005876,19085,39665,147827,156463,109736,2344,2344,2695,9027,13375,1914,1493,571,8035,1442,2685,3587,3787,10650,5240,43548,43572,46880,25804,43548,6753,1208707,155622,152146,9799,2543331,4660241,4568298,10187889,2876395,1674,2766,1072,8065,6883,1202,2275,1022,8947,1072,2474,2425,831,9036,1102
134,758,758,3376,1,0.005876,25458,39344,140173,154710,109175,2275,2215,2675,8906,13375,1884,1433,581,8246,1432,2565,3717,3847,10690,5280,43548,43572,46880,25804,43548,6452,1216432,151985,154600,9988,2468289,4327807,4501494,9968156,2668065,1843,2835,1533,8256,7034,561,2374,1062,9127,1092,2354,2335,701,9137,1092
135,869,869,4077,1,0.005399,20679,52228,179767,177012,129152,3005,3036,3647,11131,16481,2555,1793,641,9939,1763,3436,4749,5550,13555,6542,52404,52428,54568,30219,52404,8226,1734653,173265,186670,11833,3425264,5422831,5935042,13388562,4378973,19767,9738,2695,9969,8727,731,3116,1252,11161,1322,3076,3186,1022,11150,1373
135,869,869,4077,1,0.005399,21760,54973,167464,184546,146224,2966,2825,4148,10860,16631,2545,1723,631,9919,1753,3316,4849,4699,13074,6833,52404,52428,54568,30219,52404,8617,1751355,174588,177213,11842,3375572,5467536,5766245,13323860,4241175,2495,9248,1273,10159,8656,691,3005,1302,11141,1413,3036,3056,1453,10891,1333
135,869,869,4077,1,0.005399,22422,48320,168176,185457,144742,2805,2946,3577,11001,16711,2394,1723,681,9788,1754,3396,4688,4599,13376,7063,52404,52428,54568,30219,52404,8486,1708344,170650,178415,11131,3381082,5534321,6115921,13348577,3760543,2424,3477,2164,16511,8115,662,2896,1182,11061,1312,2935,3196,1844,10940,1342
135,869,869,4077,1,0.005399,21721,51817,165159,188935,130405,2875,2905,3637,10970,16651,2435,1723,742,9719,1753,3306,4588,4859,13365,7294,52404,52428,54568,30219,52404,7945,1758268,179357,175409,12774,3457585,5895478,5719368,13646236,3967632,2235,3507,1232,10159,8115,921,2665,1323,10980,1302,2955,3076,1052,10850,1653
135,869,869,4077,1,0.005399,30337,47860,175469,183043,131176,2935,2715,3567,11091,16581,2454,1763,661,9958,1743,3346,4980,5020,13195,6422,52404,52428,54568,30219,52404,7855,1712932,175309,180709,12112,3365483,5448249,5699750,13302541,3823251,2505,3557,7925,10079,8386,682,2956,1303,11231,1313,2996,2896,841,11191,1363
136,87,87,314,1,0.041485,1874,5911,18224,19978,11351,541,521,701,1242,1984,541,160,81,1333,170,691,1032,892,1513,4569,4120,4144,5108,2600,4120,1563,25168,17994,20809,1393,20709,34074,52609,106039,24255,671,661,190,1333,1463,220,541,121,1332,120,572,601,130,1213,181
136,87,87,314,1,0.041485,3737,5130,17032,18594,10810,491,401,621,1092,1783,491,160,80,1232,170,571,732,761,1333,2605,4120,4144,5108,2600,4120,1283,21350,19166,19867,1362,20789,33914,38252,92804,34885,420,501,300,1243,1293,161,521,130,1182,181,541,511,140,1182,160
136,87,87,314,1,0.041485,1873,4779,16741,18645,10620,370,381,601,1112,1823,391,150,90,1122,160,501,652,722,1372,2425,4120,4144,5108,2600,4120,1262,21831,17483,19777,1082,18515,32471,49222,92053,19807,511,471,150,1232,1122,80,431,110,1132,120,410,360,150,1173,141
