Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF1 Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSF1 InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF1 Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF1 Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF1 Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSF1 Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF1 Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSF1 Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSF1 Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSF1 Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,42720,39360,268640,361780,118020,5460,5700,9020,14760,22120,5160,860,5260,13120,1040,6300,8100,9100,14380,12240,26348,26372,53212,34989,26348,13180,48160,352860,383340,42220,4432760,5960400,6227780,9653160,4474180,10180,9640,9780,16660,14820,1300,5980,7720,14260,2100,5700,6140,6220,15720,2000,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,15720,46020,100280,91040,89040,1620,2320,6780,6420,10500,1900,680,320,6140,1000,2780,3800,3500,7120,16140,19392,19416,13996,6409,19392,6120,39980,134700,140000,8540,874780,1150800,1199320,2152080,728180,2760,3580,2700,6840,5620,780,2140,1460,6900,1500,2240,2020,980,6740,1400,
6.000000, 130.000000, 130.000000, 1282.000000, 0.215690, 0.075858,17400,31580,273040,395840,140180,1520,6320,3740,6620,9040,1480,860,1140,7860,880,2800,3240,4360,9500,15500,15908,15932,22404,14296,12968,6220,61140,185720,284280,26040,234980,363640,457700,1052320,229500,2900,4020,4880,9600,4980,800,1820,2800,7860,1180,1740,1940,2320,8140,1340,
7.000000, 219.000000, 85.000000, 438.000000, 0.786004, 0.023529,6900,9000,29540,34680,22960,800,900,1520,2060,3120,820,220,140,2040,340,1220,2560,2880,6020,7800,5600,5624,5516,2672,5600,2960,11040,62200,56720,5060,223300,231580,326320,540980,169340,800,1160,760,2200,2540,200,920,440,2220,520,780,840,400,2080,580,
8.000000, 292.000000, 292.000000, 1250.000000, 0.733427, 0.014660,16220,25920,111000,122980,87740,2340,3200,10020,6260,11580,2200,600,460,6040,720,2940,7080,4200,7180,6340,16172,16196,17872,9026,16172,7240,25380,103420,115560,9100,709300,1078540,1371900,2167720,621700,4100,4180,3940,7660,6980,640,2880,2340,36640,1140,2760,2580,2100,7060,1160,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,9040,14280,44240,40900,37240,900,1260,1960,2640,4060,920,300,160,2660,460,1580,2800,3160,8600,9940,8364,8388,7248,3527,8364,3820,12180,79380,80240,6500,225240,350680,555620,981240,294480,880,1260,1100,2800,2940,320,1080,740,2740,560,980,1280,420,2700,600,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,13780,37480,74960,74240,78260,1760,2240,3740,5240,9580,1940,600,340,5000,720,2240,3140,3340,10400,14040,15348,15372,13160,6856,15348,5600,29140,147100,161580,10780,905360,1257800,2181980,3235500,1106420,3500,3460,2980,6820,5420,1220,2060,1420,6220,1280,2180,1980,1160,6840,1440,
11.000000, 85.000000, 85.000000, 304.000000, 0.676471, 0.042076,5200,7520,23540,28880,19140,640,720,4860,1520,2500,600,180,160,1680,220,980,1480,1340,2080,5440,3992,4016,4980,2538,3992,2300,9180,30540,31080,3720,28940,64820,63680,132460,38340,660,820,2160,1900,1960,160,660,460,1580,200,700,680,300,1640,300,
12.000000, 958.000000, 292.000000, 1916.000000, 0.835311, 0.006849,18820,35840,99020,120720,137440,2800,3900,7020,6920,13380,2800,1060,460,7360,1400,4280,5120,5200,8420,12520,24164,24188,20536,11064,24164,10920,41440,225380,289660,15700,2234100,3609140,5494040,8381260,4256440,3140,5840,4780,10320,9540,1200,3560,3160,8200,2680,2880,3520,2180,8080,2060,
13.000000, 39.000000, 39.000000, 85.000000, 0.405128, 0.055884,2180,38540,14600,12780,6900,280,320,540,640,1120,240,120,120,700,140,520,960,740,1060,2200,1180,1204,2080,1123,1180,1060,4760,12580,15240,940,5300,8580,11000,19560,6340,360,460,280,700,960,120,320,240,680,120,360,320,140,700,200,
14.000000, 49.000000, 49.000000, 108.000000, 0.403061, 0.044981,2700,2960,14460,16700,8300,460,460,840,880,1460,520,120,160,980,160,680,1100,1140,1380,2960,1496,1520,2612,1406,1496,1360,6740,19840,18640,1380,8000,16680,17900,28380,12300,480,600,340,1060,1260,160,440,260,1020,140,500,480,180,980,200,
15.000000, 118.000000, 118.000000, 297.000000, 0.528672, 0.021330,7180,9340,37360,38840,21180,840,940,1560,1760,3940,780,180,220,1940,300,1140,1980,1660,2680,8560,4040,4064,6404,3389,4040,2680,11720,37760,40100,5740,84300,106900,185060,245860,90320,900,1000,1100,3540,2440,180,880,640,2020,260,820,780,560,1880,400,
16.000000, 274.000000, 274.000000, 943.000000, 0.529807, 0.012561,14500,19340,93280,107400,64040,2460,2960,5640,5820,11560,2520,540,540,5900,880,3000,4780,4480,6320,6680,12416,12440,15852,8130,12416,6340,26360,144960,115260,12880,719160,1062020,1414960,1931560,612360,2940,4620,4060,6380,8340,580,3160,1780,6360,980,2860,2480,1480,6440,1360,
17.000000, 443.000000, 443.000000, 1033.000000, 0.424952, 0.005264,16140,22020,136500,110700,73380,3140,3620,9220,6780,12500,3280,440,680,7140,600,3720,4900,6900,8160,7820,14172,14196,23648,13183,14172,12280,27300,150140,185140,44240,1594240,2096080,3229460,3188360,1731040,10540,6100,5500,10280,8900,820,3560,3580,7440,1000,3420,3220,3860,8100,1260,
18.000000, 1454.000000, 1454.000000, 3377.000000, 0.423182, 0.001597,59980,73920,321460,413840,239780,9940,12380,25420,27260,44600,10360,1500,3300,26940,2260,11740,22240,20040,42980,21400,46344,46368,77508,45239,46344,24320,74660,480620,486140,33180,17192700,20760220,37906081,40963561,17423080,19180,18500,17680,26280,40740,1940,11720,16900,24140,2800,10360,11860,9200,31920,6060,
