Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
4.000000, 685.000000, 685.000000, 1967.000000, 0.004685, 0.004192,85257,152791,194227,79245,20,13735,11922,14657,4899,4418,12182,952,5761,14336,13124,8876,26348,55952,34989,26348,24766,214224,215877,10970,106696,8231463,8364387,133966,5821,4699,12373,9638,30,20,12032,21,4619,8566,19396,1934,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,13224,30856,35916,56845,20,4589,4348,6041,1433,221,4939,1142,2695,5810,6472,13405,19392,14700,6409,19392,4689,145527,112006,4328,100625,1939546,1847888,129999,2535,831,5030,4748,40,20,4528,140,1322,341,8395,711,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,13104,46405,42088,78905,20,3958,4999,7384,1312,231,4468,811,1532,6392,5410,8776,19392,14700,6409,19392,4338,88302,86980,10119,79035,1859729,1810949,114350,5360,1062,4749,2945,30,20,5219,30,1402,290,5701,772,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,17442,31058,39002,60882,20,3957,4368,6001,1913,200,4488,802,1903,8185,5420,13064,19392,14700,6409,19392,3176,89605,89014,4659,82782,1774182,1702169,109512,5360,11260,6422,2745,30,20,4318,60,1233,311,4718,1222,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,28402,42337,35105,54700,20,3958,4278,6181,1253,210,4718,761,1873,5751,5780,9036,19392,14700,6409,19392,4277,89023,79546,4308,80367,1703632,1782317,105745,1152,4308,4829,2845,31,20,4278,41,1132,211,4689,721,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,12783,31158,36006,66692,20,4448,4368,5891,1102,230,5079,742,1533,6181,5931,8997,19392,14700,6409,19392,16921,86499,95746,4568,82031,1920501,1572721,116054,1252,4458,15728,4228,30,31,4288,30,1373,441,4699,1122,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,12563,30637,41957,60181,20,5030,4408,6011,1162,210,4649,902,3026,7093,6402,12032,19392,14700,6409,19392,4038,94544,94012,5650,102819,1705185,1508743,114410,4208,561,17682,3176,30,20,4468,20,1753,441,5259,701,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,12593,29564,45133,64679,30,3887,5991,5991,1252,201,4438,762,1493,5800,5771,10780,19392,14700,6409,19392,5219,85387,84716,7774,82421,1903680,1829363,108460,892,471,16180,2775,20,20,4298,20,1112,201,4698,1343,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,14426,29274,66311,64208,20,4268,4368,7614,1012,5911,4458,832,1573,5600,5229,9627,19392,14700,6409,19392,5470,86750,83043,4198,78314,1637170,1615159,102117,5711,1072,14867,3146,30,20,4268,20,1592,330,4879,852,
5.000000, 313.000000, 176.000000, 1557.000000, 0.861971, 0.028264,16430,47627,51084,69037,20,5019,4499,7403,1092,220,4889,752,2174,7814,6662,10890,19392,14700,6409,19392,4798,83925,94744,6202,96197,1931130,1721635,110263,3586,1272,5591,3947,30,20,5220,60,1222,281,8536,8506,
